italian,dante,model
"E, piangendo, tornano a ciò che cantavano prima, e alle grida che più si addicono loro","E tornan, lagrimando, a’ primi canti e al gridar che più lor si convene","E piangendo riedono a quel ch’e’ cantavan pria, con le grida più udite"
"A metà del percorso della vita umana, mi ritrovai per una oscura foresta, poiché avevo smarrito la giusta strada","Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","A metà del cammino de l’umana vita, per un bosco mi ritrovai, perché smarrito avea il cammin giusto"
"Faranno bene i pagani, dopo che il loro demonio se ne andrà","Ben faranno i pagan, da che ‘l demonio lor sen girà","Ben faranno i pagani, poi che ’l demonio lor se ne andrà"
Quello allora rispose:,Rispuose quelli ancora:,Ed elli a me:
"Vengano inoltre libicocco e draghignazzo, ciriatto dalle lunghe zanne e graffiacane, farfarello e rubicante pazzo","Libicocco vegn’oltre e draghignazzo, ciriatto sannuto e graffiacane e farfarello e rubicante pazzo","Vedan libicocco e draghignazzo, ciriatto d’alte zanne, farfarello, rubicante pazzo"
"La danza delle misere mani era senza posa, mentre scuotevano da un lato e dall'altro il nuovo fuoco","Sanza riposo mai era la tresca de le misere mani, or quindi or quinci escotendo da sé l’arsura fresca","La danza de le misere mani era sanza posa, e d’un lato scuotea il novo foco"
"Qui si trovano macario, romualdo e i miei confratelli che rimasero dentro i loro chiostri e furono fedeli alla mia regola","Qui è maccario, qui è romoaldo, qui son li frati miei che dentro ai chiostri fermar li piedi e tennero il cor saldo","Quivi si trova macario, romualdo e i frati miei che rimasero ne’ lor chiostri, fedeli a la mia regola"
"Ma voi abboccate all'esca, così che l'amo del demonio vi attira a sé","Ma voi prendete l’esca, sì che l’amo de l’antico avversaro a sé vi tira","Ma voi ad escate, sì che l’amo del demonio v’accende"
Da ciò puoi capire che l'amore necessariamente in voi è causa di ogni virtù e di ogni azione meritevole di essere punita,Quinci comprender puoi ch’esser convene amor sementa in voi d’ogne virtute e d’ogne operazion che merta pene,Da ciò puoi veder che l’amor necessariamente in voi è cagion di virtù e d’ogne atto degno di pena
Le sue parole e il fatto che fosse tra gli epicurei mi avevano fatto capire il nome di costui,Le sue parole e ’l modo de la pena m’avean di costui già letto il nome,"La sua parola e ‘l fatto ch’ei fosse tra li epicurei, m’avea fatto il nome di costui"
Gli altri dietro di loro gridavano:,Gridavan li altri appresso:,Li altri dietro gridavan:
"Sulle spalle, dietro la nuca, gli giaceva un drago con le ali aperte","Sovra le spalle, dietro da la coppa, con l’ali aperte li giacea un draco",Dietro a la nuca giacea un drago con l’ali aperte
"Quali barbare, quali saracene ci furono mai per le quali fossero necessarie, per farle andare coperte, pene e sanzioni della chiesa o dello stato","Quai barbare fuor mai, quai saracine, cui bisognasse, per farle ir coperte, o spiritali o altre discipline","Quali barbare, quali saracene ne furon per le quali fosser necessarie, per esser coperte, pene e pene di chiesa o di stato"
"Il bene che allieta questa corte è principio e fine di tutto l'affetto che l'amore mi insegna, in modo più o meno intenso","Lo ben che fa contenta questa corte, alfa e o è di quanta scrittura mi legge amore o lievemente o forte","Il ben ch’a questa corte giova è principio e fine di tutto ‘l disio che l’amor mi insegna, più o meno tosto"
Un giorno noi leggevamo per svago il libro che narra di lancillotto e di come amò ginevra,Noi leggiavamo un giorno per diletto di lancialotto come amor lo strinse,D’un giorno noi leggevamo il libro che lancillotto e ginevra amò
