input,output
"Il primo pensiero che vorrei condividere, nel chiedere la vostra fiducia, riguarda la nostra responsabilità nazionale.","Lo primo pensar che vorrei condividere, nel dimandar vostra fiducia, è la nostra responsabilità nazionale."
"Il principale dovere cui siamo chiamati, tutti, io per primo come Presidente del Consiglio, è di combattere con ogni mezzo la pandemia e di salvaguardare le vite dei nostri concittadini.","Lo maggior dovere a cui tutti siamo chiamati, tutti, primo presidente, è di combatter la pandemia e di salvar ne la vita nostra."
Una trincea dove combattiamo tutti insieme.,Trincea dove tutti insieme combattiamo.
Il virus è nemico di tutti.,Lo virus è nemico di tutti.
Ed è nel commosso ricordo di chi non c’è più che cresce il nostro impegno.,"Ed è ne la reverenza commossa di chi non c’è più, che cresce l’impegno nostro."
"Prima di illustrarvi il mio programma, vorrei rivolgere un altro pensiero, partecipato e solidale, a tutti coloro che soffrono per la crisi economica che la pandemia ha scatenato, a coloro che lavorano nelle attività più colpite o fermate per motivi sanitari.","Prima d’innaugurarvi il mio programma, vorrei rivolgere un’altra mente, partecipata e solidale, a tutti coloro che soffrono per lo fervor che la pandemia ha sospinto, alle persone più colpite o fermate per motivi di salute."
"Conosciamo le loro ragioni, siamo consci del loro enorme sacrificio e li ringraziamo.","Le lor cagion conosciamo, ne siamo consci del loro grande sacrificio e grati ringraziamo."
"Ci impegniamo a fare di tutto perché possano tornare, nel più breve tempo possibile, nel riconoscimento dei loro diritti, alla normalità delle loro occupazioni.","Tutto s’aiuta perché riedan, il più tosto che si possan tornare a la normalità de le loro opine."
"Ci impegniamo a informare i cittadini con sufficiente anticipo, per quanto compatibile con la rapida evoluzione della pandemia, di ogni cambiamento nelle regole.","Ad ogne tempo informiamo i cittadini, quanto si convien con l’espandersi de la pandemia, di ogni mutamento in atto."
Il Governo farà le riforme ma affronterà anche l’emergenza.,"Il governo farà le riforme, ma a la ‘nsurrezione s’accorse."
"C’era una volta, nelle terre lontane lontane, un piccolo paesino isolato dal resto del mondo.","V’era una volta, ne le lontane terre, un piccolo paesino isolato dal resto del mondo."
"Gli abitanti del paesino erano molto legati alle loro tradizioni, proprio perché non avevano contatti con persone di altri posti.","Li abitanti del paese eran molto legati a la loro tradizione, che non avea contatti con gente d’altre parti."
"Il Conte del paese era l’unico nobile che avevano a disposizione, e per questo motivo era stato eletto sindaco.","Il conte del paese era l’unico che avea a disposizione, e per questo fatto fu eletto sindaco."
"Purtroppo il Conte qualche anno prima, aveva perso la moglie, e da quando era rimasto solo era diventato una persona molto rigida e severa.","Lo conte qualche anno prima, la moglie perduta, e poi ch’e’ rimase solo era diventato molto duro."
"Gli abitanti del paese dovevano rispettare tutte le sue decisioni senza fiatare, e guai a chi si comportava diversamente!","Li abitanti del paese dovean rispettar tutte sue decisioni sanza fiato, e guai a chi si comportava diversamente!"
Ma la cosa più assurda era che in questo paese erano state vietate le pasticcerie!,Ma la cosa più assurda era ch’eran le pasticcerie chiuse in questo paese!
Nemmeno in casa propria si potevano fare dolci!,Né a casa propria si potea far dolci!
"Lo aveva proibito il conte dopo la scomparsa della moglie, che era morta per una indigestione di pasticcini alla crema.","Lo ‘ndulgea il conte dopo la scomparsa de la moglie, che per indigestione d’i pasticcini era morta."
"Quella terribile vicenda gli aveva fatto perdere la ragione, e gli abitanti non avevano avuto la forza ed il coraggio di ribellarsi alla sua autorità.","Quella tremenda vertute li tolse la cagion, e non avea la forza né ‘l coraggio di ribellarsi al suo potere."
"Ma un giorno, mentre soffiava fortissimo il vento, giunse in paese un pellegrino, che cercava un posto dove riposarsi per qualche giorno.","Ma un giorno, mentre che ‘l vento era forte, giunse in paese un pellegrino, che cercava un loco ove riposarsi un poco."
"Il Conte non amava gli stranieri, aveva paura che potessero agitare l’apparente tranquillità della gente del paese.","Non amava li stranieri, temea che potesser turbar la quiete apparente del paese."
"Io l’esame di Stato lo abolirei, perché un esame che passano praticamente tutti non è un esame.","Io l’esame di stato abolirei, ché ‘l passar quasi tutti non è esame."
