italian,dante,model
"Il bene che allieta questa corte è principio e fine di tutto l'affetto che l'amore mi insegna, in modo più o meno intenso","Lo ben che fa contenta questa corte, alfa e o è di quanta scrittura mi legge amore o lievemente o forte",Lo bene ch’alieta questa corte è principio e fine d’ogne amor che più o meno m’insegna
"Non è la vera felicità, non è la buona essenza che è frutto e radice di ogni bene","Non è felicità, non è la buona essenza, d’ogne ben frutto e radice","Non è vera felicità, nè buona essenza ch’è frutto e radice d’ogne bene"
Ti ho chiamato almeno tre volte,Almen trevoci t’ho messe,Tre volte t’ho chiamato
E dimmi perché in questo cielo non si sente la dolce sinfonia del paradiso che suona così devotamente negli altri inferiori,"E di’ perché si tace in questa rota la dolce sinfonia di paradiso, che giù per l’altre suona sì divota",E dimmi perché in questo ciel non si sente la dolce sinfonia de l’altre alte
Li giudica e li destina a seconda di come attorcigli la coda,Giudica e manda secondo ch’avvinghia,"Li giudica, e drizza a seconda ch’allumi la coda"
"Vedi la luce che filtra attraverso il buio e già biancheggia, e io devo separarmi da voi prima che io appaia all'angelo, che è lì","Vedi l’albor che per lo fummo raia già biancheggiare, e me convien partirmi (l’angelo è ivi) prima ch’io li paia","Vedi la luce che vien per lo buio e già biancheggia, poi ch’io a voi appaia"
"Affinché tu ti liberi da questi timori, ti dirò perché sono venuto qui e quello che sentii nel primo momento che provai per te dolore","Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ’ntesi nel primo punto che di te mi dolve","Per ch’io ti liberi da questi timori, dirò perché son venuto qui, e quel che senti’ ne l’ultimo piè che provai"
Perciò risposi così prontamente,Però fu la risposta così piena,Ond’io rispuosi sì tardi
E lo possono fare in quanto la loro visione divina è la più elevata,E posson quanto a veder son soblimi,"E lo possono fare, ché la loro visione è la più alta"
"Quanto poco rimane verde sul ramo, se non è seguita da età decadenti","Com’poco verde in su la cima dura, se non è giunta da l’etati grosse","Quanto poco s’apparve su per lo ramo, se non è d’età rea"
"E io, che avevo la testa piena di dubbi, dissi:","E io ch’avea d’error la testa cinta, dissi:","E io, ch’avea la testa piena di dubbi, dissi:"
E sentii che diceva:,E senti’ dir:,E rispuos’io:
Questo io dissi rivolto alla luce che prima mi aveva parlato,Questo diss’io diritto alla lumera che pria m’avea parlato,Questo io dissi a la luce ch’aprio m’avea parlato
